Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated,Rank_Score,Assets_B,MarketCap_B,Assets_norm,MarketCap_norm,Rank_norm,Company_Size
31,Verizon Communications,VZ,Telecommunications,Telecommunications,1.0,0.0,0.0,0.0,-5.0,0.0,1.0,0.0,yes,yes,no,105400,176651.6,133974.0,-2.1,11614.0,-45.4,380255.0,Hans E. Vestberg,U.S.,New York,New York,Https://Www.Verizon.Com,Public,"Market value as of July 15, 2024.",171696.0,2024-08-05,970,380.255,171.696,0.08783515627252489,0.04776884792042086,0.030030030030030033,Mega
32,At&T,T,Telecommunications,Telecommunications,1.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,yes,yes,no,150470,125889.1,122428.0,1.4,14400.0,0.0,407060.0,John T. Stankey,U.S.,Dallas,Texas,Https://Www.Att.Com,Public,"Market value as of July 15, 2024.",133222.0,2024-08-05,969,407.06,133.222,0.09403273565824524,0.0370647042310497,0.031031031031031032,Mega
33,Comcast,CMCSA,Telecommunications,Telecommunications,1.0,0.0,0.0,0.0,-4.0,0.0,1.0,0.0,yes,yes,yes,186000,172180.0,121572.0,0.1,15388.0,186.6,264811.0,Brian L. Roberts,U.S.,Philadelphia,Pennsylvania,Https://Www.Comcastcorporation.Com,Public,"Market value as of July 15, 2024.",152786.0,2024-08-05,968,264.811,152.786,0.06114336912068383,0.04250775322878472,0.03203203203203203,Mega
34,Wells Fargo,WFC,Financials,Commercial Banks,1.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,yes,no,no,226000,205201.8,115340.0,39.2,19142.0,45.2,1932468.0,Charles W. Scharf,U.S.,San Francisco,California,Https://Www.Wellsfargo.Com,Public,"Market value as of July 15, 2024.",201265.0,2024-08-05,967,1932.468,201.265,0.4467220539053224,0.05599546394035682,0.03303303303303303,Mega
35,Goldman Sachs Group,GS,Financials,Commercial Banks,1.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,yes,yes,no,45300,135551.7,108418.0,57.8,8516.0,-24.4,1641594.0,David M. Solomon,U.S.,New York,New York,Https://Www.Goldmansachs.Com,Public,"Market value as of July 15, 2024.",164412.0,2024-08-05,966,1641.594,164.412,0.37946912697967344,0.045742310969924954,0.03403403403403404,Mega
36,Freddie Mac,FMCC,Financials,Diversified Financials,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,yes,no,no,8020,877.6,108050.0,24.6,10538.0,13.0,3280976.0,Michael T. Hutchins,U.S.,Mclean,Virginia,Https://Www.Freddiemac.Com,Public,"Company's senior preferred stock is owned by the U.S. Treasury, which also holds a warrant to purchase 79.9% of the common stock. Market value as of July 15, 2024.",4528.0,2024-08-05,965,3280.976,4.528,0.758510353934383,0.0012597692630210702,0.035035035035035036,Mega
37,Target,TGT,Retailing,General Merchandisers,1.0,0.0,0.0,0.0,-4.0,0.0,1.0,0.0,yes,yes,yes,415000,81816.1,107412.0,-1.6,4138.0,48.8,55356.0,Brian C. Cornell,U.S.,Minneapolis,Minnesota,Https://Www.Target.Com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of July 15, 2024.",69997.0,2024-08-05,964,55.356,69.997,0.012715315017492063,0.019474396886856416,0.036036036036036036,Large
38,Humana,HUM,Health Care,Health Care: Insurance And Managed Care,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,yes,yes,no,67600,41796.7,106374.0,14.5,2489.0,-11.3,47065.0,James A. Rechtin,U.S.,Louisville,Kentucky,Https://Www.Humana.Com,Public,"Market value as of July 15, 2024.",46298.0,2024-08-05,963,47.065,46.298,0.01079835435019091,0.012880918140315703,0.03703703703703704,Medium
39,State Farm Insurance,,Financials,Insurance: Property And Casualty (Mutual),0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,yes,no,no,65054,0.0,104198.6,16.6,-6272.3,0.0,339484.7,Michael L. Tipsord,U.S.,Bloomington,Illinois,Https://Www.Statefarm.Com,Private,"Figures are for fiscal year ended Dec. 31, 2022.",0.0,2024-08-05,962,339.48470000000003,0.0,0.07840866230387598,0.0,0.03803803803803804,Mega
40,Tesla,TSLA,Motor Vehicles & Parts,Motor Vehicles & Parts,1.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,yes,no,no,140473,559854.3,96773.0,18.8,14997.0,19.4,106618.0,Elon Musk,U.S.,Austin,Texas,Https://Www.Tesla.Com,Public,"Market value as of July 15, 2024.",805719.0,2024-08-05,961,106.618,805.719,0.024567593117503124,0.2241652011554933,0.03903903903903904,Large
41,Morgan Stanley,MS,Financials,Commercial Banks,1.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,yes,yes,no,80006,153976.9,96194.0,45.9,9087.0,-17.6,1193693.0,Edward N. Pick,U.S.,New York,New York,Https://Www.Morganstanley.Com,Public,"Market value as of July 15, 2024.",171065.0,2024-08-05,960,1193.693,171.065,0.2759100147079507,0.04759329261897071,0.04004004004004004,Mega
42,Johnson & Johnson,JNJ,Health Care,Pharmaceuticals,1.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,yes,yes,no,131900,381203.6,95195.0,0.3,35153.0,95.9,167558.0,Joaquin Duato,U.S.,New Brunswick,New Jersey,Https://Www.Jnj.Com,Public,"Includes revenues from discontinued operations. Market value as of July 15, 2024.",359173.0,2024-08-05,959,167.558,359.173,0.038657519913466484,0.09992824768265611,0.04104104104104104,Large
43,Archer Daniels Midland,ADM,"Food, Beverages & Tobacco",Food Production,1.0,0.0,0.0,0.0,-8.0,0.0,1.0,0.0,yes,yes,no,41008,32023.6,93935.0,-7.5,3483.0,-19.7,54631.0,Juan R. Luciano,U.S.,Chicago,Illinois,Https://Www.Adm.Com,Public,"Market value as of July 15, 2024.",31347.0,2024-08-05,958,54.631,31.347,0.012547687893647734,0.008721286901042732,0.042042042042042045,Large
44,Pepsico,PEP,"Food, Beverages & Tobacco",Food Consumer Products,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,yes,yes,no,318000,240552.8,91471.0,5.9,9074.0,1.8,100495.0,Ramon L. Laguarta,U.S.,Purchase,New York,Https://Www.Pepsico.Com,Public,"Market value as of July 15, 2024.",225074.0,2024-08-05,957,100.495,225.074,0.023151895352953013,0.0626195466221741,0.043043043043043044,Large
45,United Parcel Service,UPS,Transportation,"Mail, Package, And Freight Delivery",1.0,0.0,1.0,0.0,-8.0,0.0,1.0,0.0,yes,yes,no,382550,126828.9,90958.0,-9.3,6708.0,-41.9,70857.0,Carol B. Tom?,U.S.,Atlanta,Georgia,Https://Www.Ups.Com,Public,"Market value as of July 15, 2024.",123329.0,2024-08-05,956,70.857,123.329,0.016299298530196824,0.03431229757931219,0.044044044044044044,Large
46,Fedex,FDX,Transportation,"Mail, Package, And Freight Delivery",1.0,0.0,0.0,0.0,-5.0,0.0,1.0,0.0,yes,yes,no,446400,71299.4,90155.0,-3.6,3972.0,3.8,87143.0,Rajesh Subramaniam,U.S.,Memphis,Tennessee,Https://Www.Fedex.Com,Public,"Figures are for fiscal year ended May 31, 2023. Market value as of July 15, 2024.",74517.0,2024-08-05,955,87.143,74.517,0.020064781756305446,0.0207319404091301,0.04504504504504505,Large
47,Walt Disney,DIS,Media,Entertainment,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,yes,yes,no,199125,224445.2,88898.0,7.5,2354.0,-25.2,205579.0,Robert A. Iger,U.S.,Burbank,California,Https://Www.Thewaltdisneycompany.Com,Public,"Figures are for fiscal year ended Sept. 30, 2023. Market value as of July 15, 2024.",176598.0,2024-08-05,954,205.579,176.598,0.0474483487075151,0.04913267056338228,0.04604604604604605,Mega
48,Dell Technologies,DELL,Technology,"Computers, Office Equipment",1.0,1.0,0.0,0.0,-14.0,0.0,1.0,0.0,yes,yes,no,120000,81450.6,88425.0,-13.6,3211.0,31.5,82089.0,Michael S. Dell,U.S.,Round Rock,Texas,Https://Www.Delltechnologies.Com/,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of July 15, 2024.",97331.0,2024-08-05,953,82.089,97.331,0.018896247295740975,0.027079196585491117,0.04704704704704705,Large
49,Lowe'S,LOW,Retailing,Specialty Retailers: Other,1.0,0.0,0.0,0.0,-10.0,0.0,1.0,0.0,yes,yes,no,226000,145752.5,86377.0,-11.0,7726.0,20.0,41795.0,Marvin R. Ellison,U.S.,Mooresville,North Carolina,Https://Www.Lowes.Com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of July 15, 2024.",132299.0,2024-08-05,952,41.795,132.299,0.00957987856721213,0.03680790939231991,0.04804804804804805,Medium
50,Procter & Gamble,PG,Household Products,Household And Personal Products,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,yes,yes,no,107000,381777.7,82006.0,2.3,14653.0,-0.6,120829.0,Jon R. Moeller,U.S.,Cincinnati,Ohio,Https://Www.Pginvestor.Com,Public,"Figures are for fiscal year ended June 30, 2023. Market value as of July 15, 2024.",388431.0,2024-08-05,951,120.829,388.431,0.027853315954677972,0.1080683380310374,0.04904904904904905,Large
51,Energy Transfer,ET,Energy,Pipelines,1.0,0.0,0.0,0.0,-8.0,0.0,1.0,0.0,yes,no,no,13786,52974.8,78586.0,-12.6,3935.0,-17.3,113698.0,Thomas E. Long/Marshall S. Mccrea Iii,U.S.,Dallas,Texas,Https://Www.Energytransfer.Com,Public,"A partnership. Market value as of July 15, 2024.",55235.0,2024-08-05,950,113.698,55.235,0.02620455868552775,0.015367348772740463,0.05005005005005005,Large
52,Boeing,BA,Aerospace & Defense,Aerospace & Defense,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,yes,yes,no,171000,117750.0,77794.0,16.8,-2222.0,0.0,137012.0,Kelly K. Ortberg,U.S.,Arlington,Virginia,Https://Www.Boeing.Com,Public,"Market value as of July 15, 2024.",109953.0,2024-08-05,949,137.012,109.953,0.03159498456870939,0.030590859049681035,0.05105105105105105,Large
53,Albertsons,ACI,Food & Drug Stores,Food & Drug Stores,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,no,no,198650,12350.3,77649.7,8.0,1513.5,-6.6,26168.2,Vivek Sankaran,U.S.,Boise,Idaho,Https://Www.Albertsonscompanies.Com,Public,"Figures are for fiscal year ended Feb. 28, 2024. Market value as of July 15, 2024.",11333.0,2024-08-05,948,26.168200000000002,11.333,0.005966808858397553,0.0031530399862671793,0.05205205205205205,Medium
54,Sysco,SYY,Wholesalers,Wholesalers: Food And Grocery,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,yes,no,no,71750,40413.8,76324.7,11.2,1770.1,30.3,22821.1,Kevin P. Hourican,U.S.,Houston,Texas,Https://Www.Sysco.Com,Public,"Figures are for fiscal year ended June 30, 2023. Market value as of July 15, 2024.",35755.0,2024-08-05,947,22.821099999999998,35.755,0.005192926449819132,0.009947670052852995,0.05305305305305306,Medium
55,Rtx,RTX,Aerospace & Defense,Aerospace & Defense,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,yes,yes,no,185000,129680.3,68920.0,2.8,3195.0,-38.5,161869.0,Christopher T. Calio,U.S.,Arlington,Virginia,Https://Www.Rtx.Com,Public,"Market value as of July 15, 2024.",135104.0,2024-08-05,946,161.869,135.104,0.037342167213396976,0.037588309741872494,0.05405405405405406,Large
56,General Electric,GE,Industrials,Industrial Machinery,1.0,0.0,0.0,0.0,-4.0,0.0,1.0,0.0,yes,no,no,125000,191901.2,67954.0,-11.2,9481.0,4113.8,163045.0,H. Lawrence Culp Jr.,U.S.,Boston,Massachusetts,Https://Www.Ge.Com,Public,"Market value as of July 15, 2024.",174655.0,2024-08-05,945,163.045,174.655,0.03761406996876378,0.04859209377936065,0.055055055055055056,Large
57,Lockheed Martin,LMT,Aerospace & Defense,Aerospace & Defense,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,yes,yes,no,122000,109394.2,67571.0,2.4,6920.0,20.7,52456.0,James D. Taiclet Jr.,U.S.,Bethesda,Maryland,Https://Www.Lockheedmartin.Com,Public,"Market value as of July 15, 2024.",111303.0,2024-08-05,944,52.456,111.303,0.012044806522114745,0.0309664528008026,0.056056056056056056,Large
58,American Express,AXP,Financials,Diversified Financials,1.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,yes,yes,yes,74600,163945.6,67364.0,21.1,8374.0,11.4,261108.0,Stephen J. Squeri,U.S.,New York,New York,Https://Www.Americanexpress.Com,Public,"Market value as of July 15, 2024.",175510.0,2024-08-05,943,261.108,175.51,0.06028719913503479,0.04882996982173764,0.057057057057057055,Mega
59,Caterpillar,CAT,Industrials,Construction And Farm Machinery,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,yes,yes,no,113200,182986.8,67060.0,12.8,10335.0,54.1,87476.0,D. James Umpleby Iii,U.S.,Irving,Texas,Https://Www.Caterpillar.Com,Public,"Market value as of July 15, 2024.",169100.0,2024-08-05,942,87.476,169.1,0.02014177462836084,0.04704659504789377,0.05805805805805806,Large
60,Metlife,MET,Financials,"Insurance: Life, Health (Stock)",1.0,0.0,0.0,0.0,-6.0,0.0,1.0,0.0,yes,yes,yes,45000,53583.0,66905.0,-4.3,1578.0,-37.8,687584.0,Michel A. Khalaf,U.S.,New York,New York,Https://Www.Metlife.Com,Public,"Market value as of July 15, 2024.",52929.0,2024-08-05,941,687.584,52.929,0.15889264088487512,0.014725779002306144,0.05905905905905906,Mega
